Rank,Large Colleges and Universities,Number of Undergrad Alumni Volunteers
1,University of Wisconsin–Madison,87
2,University of Washington,73
3,University of Minnesota,70
4,University of Michigan,60
5,University of Florida,58
6,Colorado State University,54
7,University of North Carolina at Chapel Hill,51
8,The Pennsylvania State University,50
9,The Ohio State University,49
10,Michigan State University,48
11,University of Colorado Boulder,47
11,University of Oregon,47
13,"University of California, Los Angeles",43
13,Arizona State University,43
15,"University of Maryland, C ollege Park",42
15,University of Virginia,42
17,James Madison University,41
18,"University of California, Santa Barbara",40
18,University of South Florida,40
20,"University of California, Davis",39
21,North Carolina State Universi ty,37
21,Indiana University Bloom ington,37
21,University of Illinois at Urb ana-Champaign,37
21,University of Massachusetts Amherst,37
25,University of Texas at Aus tin,36
Rank,Medium Colleges and Universities,Number of Undergrad Alumni Volunteers
1,American University,54
2,Western Washington University,48
3,The George Washington University,45
4,The College of William & Mary,36
5,Humboldt State University,33
6,Georgetown University,31
7,University of Montana,30
8,University of Vermont,29
8,Emory University,29
10,Tulane University,26
11,Cornell University,24
12,College of Charleston,20
13,Boston College,19
14,Loyola University Chicago,18
14,SUNY Geneseo,18
14,Howard University,18
14,University of Hawai'i at M_noa,18
14,University of San Diego,18
14,University of Wisconsin-Stevens Point,18
20,Fordham University,17
21,Montana State University,15
21,University of Rhode Island,15
21,Northwestern University,15
21,Tufts University,15
21,University of New Hampshire,15
Rank,Small Colleges and Universities,Number of Undergrad Alumni Volunteers
1,Denison University,16
2,University of Mary Washington,13
2,University of Puget Sound,13
4,St. Mary's College of Maryl and,12
4,Whitworth University,12
4,Hobart and William Smith Colleges,12
7,Colorado College,11
7,Smith College,11
7,Spelman College,11
7,St. Lawrence University,11
7,The Evergreen State College,11
7,Oberlin College,11
13,Carleton College,10
13,Simmons College,10
13,Bowdoin College,10
13,Connecticut College,10
13,Kalamazoo College,10
13,Eckerd College,10
13,SUNY College of Environmental Science and Forestry,10
13,Wellesley College,10
13,Grinnell College,10
22,Hamilton College,9
22,Loyola University New Orleans,9
22,Whitman College,9
22,College of Wooster,9
22,Rice University,9
Rank,Grad Schools,Number of Graduate Alumni Volunteers
1,American University,20
1,Tulane University,20
3,University of South Florida,18
4,University of Michigan,15
4,Boston University,15
Rank,Historical Since 1961,Number of Undergrad Alumni Volunteers
1,"University of California, Berkeley","3,640"
2,University of Wisconsin-Madison,"3,239"
3,University of Washington,"2,981"
4,University of Michigan,"2,684"
5,University of Colorado Boulder,"2,468"
